,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
89,MO,2006,57372,6.61,R,33.9,114.5,165,169.9,120,51.8,10.9,6.3,20.1,25.2,18.2,11.7,6.5,2.3,77,44.1,114.5,124.9,89.3,37.2,7,6.61,6.61,201.6,6.61,6.61
90,MS,2006,44700,0,R,53.4,151.9,208.5,173.7,99.4,40.7,8.2,5.7,18.8,27.7,20.1,11,5.3,1.5,109.4,67.2,148.3,126.3,72.8,29.1,5.5,6.61,6.61,201.6,0,0
91,MT,2006,52901,5.13,D,28.4,103.2,149.2,188.9,126.7,56.8,12.7,6.9,18.4,22.2,16.8,8.8,5.6,2.6,69.1,37.6,104,142,97.5,42.3,8.2,6.61,6.61,201.6,5.13,6.61
92,NC,2006,51217,6.61,R,39.9,126,176,167.2,124.7,57,11.9,8.7,25,34.4,24.6,14.2,7.4,2.3,82.1,48.1,115.1,116.8,90.9,40.7,7.8,6.61,6.61,201.6,6.61,6.61
93,ND,2006,52826,6.61,R,18.1,63.8,108.1,212.3,125.2,55,10.5,3,10.6,11.8,11.9,5.3,3.9,0.9,43.4,26.1,79.3,166,99.5,42.2,7.9,6.61,6.61,201.6,6.61,6.61
94,NE,2006,61961,6.61,R,23.4,79.5,139.4,201.7,140,61,12.2,3.6,10.4,13.8,12.1,7.1,4,1.4,56.7,32.8,103.5,157.1,110.2,47.2,8.9,6.61,6.61,201.6,6.61,6.61
95,NH,2006,79753,6.61,D,15.5,60.2,111.3,162.6,135.7,62.3,12.6,5.8,17.5,24.2,20.4,10.8,6.2,2.1,34.1,18.1,70.5,116.8,103.2,46.2,8.6,6.61,6.61,201.6,6.61,6.61
96,NJ,2006,87590,7.89,D,37,126.2,173.3,189.8,177.3,91.9,22.1,20.7,62,71.2,53.9,29.7,15.3,5.8,48.3,24.8,79.2,108.7,120.6,62.5,13.1,6.61,7.89,201.6,7.89,7.89
97,NJ,2006,87590,7.89,D,37,126.2,173.3,189.8,177.3,91.9,22.1,20.7,62,71.2,53.9,29.7,15.3,5.8,48.3,24.8,79.2,108.7,120.6,62.5,13.1,6.61,7.89,201.6,7.89,7.89
98,NJ,2006,87590,7.89,D,37,126.2,173.3,189.8,177.3,91.9,22.1,20.7,62,71.2,53.9,29.7,15.3,5.8,48.3,24.8,79.2,108.7,120.6,62.5,13.1,6.61,7.89,201.6,7.89,7.89
99,NM,2006,51515,6.61,D,56.1,158.7,203.5,172.9,118.7,56.7,13.9,12.5,28.8,37.1,24.4,14.2,7.4,2.9,105.8,62.7,135.5,121.7,85.9,40.4,8.9,6.61,6.61,201.6,6.61,6.61
100,NV,2006,67285,6.61,R,51.8,167.2,211.6,185.3,142.2,73,18.6,16.6,45.1,50.6,33.5,24.1,14.5,5.2,98,53.4,130,123.7,96.4,47.6,10.7,6.61,6.61,201.6,6.61,6.61
101,NY,2006,62060,8.66,R,44.7,119.5,169.5,174.9,162.4,89.5,23.7,26.6,58.5,68.7,52.4,34.8,19.4,6.7,46,26,78.2,97.7,103.4,56.8,13.6,6.61,8.66,201.6,8.66,8.66
